Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553ca0>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(3.6, 5.7): -2.104395647356188
(3.6, 5.8): -2.046596175790889
(3.6, 5.9): -1.992534061812742
(3.6, 6.0): -1.9421760572062952
(3.7, 3.0): -3.405898396686745
(3.7, 3.1): -3.4871962926697946
(3.7, 3.2): -3.536619703230078
(3.7, 3.3): -3.5603711467600494
(3.7, 3.4): -3.5630185376436816
(3.7, 3.5): -3.548052640093521
(3.7, 3.6): -3.518249294405263
(3.7, 3.7): -3.475902458699634
(3.7, 3.8): -3.42297243286162
(3.7, 3.9): -3.361178934151929
(3.7, 4.0): -3.292058757887805
(3.7, 4.1): -3.2170010592462077
(3.7, 4.2): -3.1372687928889564
(3.7, 4.3): -3.0540118366036615
(3.7, 4.4): -2.9682753211129187
(3.7, 4.5): -2.88100536326578
(3.7, 4.6): -2.7930535319612413
(3.7, 4.7): -2.70518081510823
(3.7, 4.8): -2.6180614997384275
(3.7, 4.9): -2.5322871576437227
(3.7, 5.0): -2.448370798924917
(3.7, 5.1): -2.3667511844907874
(3.7, 5.2): -2.2877972548049
(3.7, 5.3): -2.211812621672571
(3.7, 5.4): -2.1390400731288732
(3.7, 5.5): -2.0696660518888956
(3.7, 5.6): -2.0038250808528253
(3.7, 5.7): -1.9416041218077669
(3.7, 5.8): -1.8830468635530266
(3.7, 5.9): -1.8281579420460823
(3.7, 6.0): -1.776907097216827
(3.8, 3.0): -3.517343971788508
(3.8, 3.1): -3.554992464138149
(3.8, 3.2): -3.5667089216271854
(3.8, 3.3): -3.558074254306754
(3.8, 3.4): -3.533079902503856
(3.8, 3.5): -3.494684511191143
(3.8, 3.6): -3.445174505330967
(3.8, 3.7): -3.3863950905168383
(3.8, 3.8): -3.319896310714143
(3.8, 3.9): -3.2470239625591235
(3.8, 4.0): -3.168975152525601
(3.8, 4.1): -3.0868315471480834
(3.8, 4.2): -3.001578850970298
(3.8, 4.3): -2.9141180324084583
(3.8, 4.4): -2.8252718153234584
(3.8, 4.5): -2.7357886325228047
(3.8, 4.6): -2.6463453726274553
(3.8, 4.7): -2.557549692482796
(3.8, 4.8): -2.4699423116908155
(3.8, 4.9): -2.3839994850680046
(3.8, 5.0): -2.300135717014254
(3.8, 5.1): -2.218706707822985
(3.8, 5.2): -2.140012485313979
(3.8, 5.3): -2.0643006619393622
(3.8, 5.4): -1.9917697585006133
(3.8, 5.5): -1.9225725446536204
(3.8, 5.6): -1.8568193591698106
(3.8, 5.7): -1.7945813866794125
(3.8, 5.8): -1.7358938802756985
(3.8, 5.9): -1.6807593294958405
(3.8, 6.0): -1.6291505799830535
(3.9, 3.0): -3.5726117393567542
(3.9, 3.1): -3.5749388669499607
(3.9, 3.2): -3.5563696944662206
(3.9, 3.3): -3.521940448743359
(3.9, 3.4): -3.475140303533249
(3.9, 3.5): -3.4184672483236724
(3.9, 3.6): -3.353786742242102
(3.9, 3.7): -3.282560307860123
(3.9, 3.8): -3.2059890615240265
(3.9, 3.9): -3.1251021672388095
(3.9, 4.0): -3.040810080274252
(3.9, 4.1): -2.9539356511166406
(3.9, 4.2): -2.8652316164399547
(3.9, 4.3): -2.775389978949554
(3.9, 4.4): -2.6850467747254285
(3.9, 4.5): -2.594784408425101
(3.9, 4.6): -2.5051328764893035
(3.9, 4.7): -2.4165706433014407
(3.9, 4.8): -2.329525582520302
(3.9, 4.9): -2.2443761767208517
(3.9, 5.0): -2.1614530370340104
(3.9, 5.1): -2.081040729877731
(3.9, 5.2): -2.003379859961553
(3.9, 5.3): -1.928669343719281
(3.9, 5.4): -1.857068806556735
(3.9, 5.5): -1.788701044674261
(3.9, 5.6): -1.72365450398128
(3.9, 5.7): -1.661985742095562
(3.9, 5.8): -1.6037218527995931
(3.9, 5.9): -1.5488628443421955
(3.9, 6.0): -1.4973839727462346
(4.0, 3.0): -3.583589430968166
(4.0, 3.1): -3.557326046509126
(4.0, 3.2): -3.514478097279342
(4.0, 3.3): -3.45959747837254
(4.0, 3.4): -3.3957287576824027
(4.0, 3.5): -3.3249646689356287
(4.0, 3.6): -3.2488029008824935
(4.0, 3.7): -3.168372132411855
(4.0, 3.8): -3.084572797135196
(4.0, 3.9): -2.9981628323955523
(4.0, 4.0): -2.909808404914877
(4.0, 4.1): -2.8201127258660974
(4.0, 4.2): -2.7296314797303416
