Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x592160>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.61, 3.6): 0.5624427333463887
(2.61, 3.7): -0.1930771128983023
(2.61, 3.8): -0.8276812703251949
(2.61, 3.9): -1.3575420148386763
(2.61, 4.0): -1.7970999088709392
(2.61, 4.1): -2.159195643504364
(2.61, 4.2): -2.4551944678979862
(2.61, 4.3): -2.695105659833637
(2.61, 4.4): -2.887698053388861
(2.61, 4.4): -2.887698053388861
(2.61, 4.41): -2.904658096075571
(2.61, 4.42): -2.921229246643804
(2.61, 4.43): -2.937418456658581
(2.61, 4.44): -2.953232577766149
(2.61, 4.45): -2.968678362744132
(2.61, 4.46): -2.9837624665349782
(2.61, 4.47): -2.9984914472870665
(2.61, 4.48): -3.012871767376945
(2.61, 4.49): -3.0269097944502885
(2.61, 4.5): -3.040611802424851
(2.61, 4.51): -3.0539839725178575
(2.61, 4.52): -3.067032394257844
(2.61, 4.53): -3.079763066481921
(2.61, 4.54): -3.0921818983413005
(2.61, 4.55): -3.1042947103005036
(2.61, 4.56): -3.1161072351176378
(2.61, 4.57): -3.1276251188420012
(2.61, 4.58): -3.1388539217805023
(2.61, 4.59): -3.14979911948123
(2.61, 4.6): -3.1604661036981123
(2.61, 4.61): -3.170860183353141
(2.61, 4.62): -3.18098658549828
(2.61, 4.63): -3.190850456259144
(2.61, 4.64): -3.2004568617889686
(2.61, 4.65): -3.209810789206319
(2.61, 4.66): -3.218917147529009
(2.61, 4.67): -3.227780768600819
(2.61, 4.68): -3.2364064080181336
(2.61, 4.69): -3.2447987460466337
(2.61, 4.7): -3.2529623885268593
(2.61, 4.71): -3.260901867786231
(2.61, 4.72): -3.2686216435330238
(2.61, 4.73): -3.276126103752966
(2.61, 4.74): -3.2834195655919682
(2.61, 4.75): -3.2905062762365964
(2.61, 4.76): -3.2973904137915726
(2.61, 4.77): -3.304076088148413
(2.61, 4.78): -3.3105673418387163
(2.61, 4.79): -3.316868150898413
(2.61, 4.8): -3.322982425716763
(2.61, 4.81): -3.328914011871453
(2.61, 4.82): -3.33466669096858
(2.61, 4.83): -3.340244181478641
(2.61, 4.84): -3.3456501395484737
(2.61, 4.85): -3.350888159824697
(2.61, 4.86): -3.355961776265772
(2.61, 4.87): -3.3608744629388827
(2.61, 4.88): -3.36562963482458
(2.61, 4.89): -3.370230648600379
(2.61, 4.9): -3.374680803427251
